n,m,l,S,mean,ci_low,ci_high,std,ci_rel
64,16,4,0.85,0.006829846650362015,0.006778721231967211,0.00688567291945219,2.7970256269327365e-05,0.015659456640847225
64,16,4,0.9,0.0028342725709080696,0.0027991782408207655,0.00287352385930717,1.9582088498282246e-05,0.026230934614233276
64,16,4,0.95,0.00034938546014018357,0.0003377767570782453,0.00036197007284499705,5.846130989084486e-06,0.06924534225621383
64,2,1,0.85,0.0415724515914917,0.04144662246108055,0.0416884608566761,6.856885011075065e-05,0.005817275294994767
64,2,1,0.9,0.028775418177247047,0.028674088418483734,0.028913436457514763,6.22817751718685e-05,0.008317795333389217
64,2,1,0.95,0.0149057786911726,0.014818285591900349,0.014991755597293377,4.728569183498621e-05,0.011637768746409706
64,2,2,0.9,0.02509884722530842,0.024994583800435066,0.025218768045306206,6.093673437135294e-05,0.00893205344686442
64,2,2,0.95,0.011212502606213093,0.011123621836304665,0.011293722316622734,4.3763186113210395e-05,0.015170607873376374
64,2,3,0.9,0.01987640932202339,0.019762322306632996,0.01997128501534462,5.474531280924566e-05,0.01051310150269898
64,2,3,0.95,0.009857366792857647,0.009780784137547016,0.009935424663126469,4.0887891373131424e-05,0.015687812864131262
64,2,4,0.9,0.018348578363656998,0.018243996426463127,0.01847337745130062,5.414471525000408e-05,0.012501296846617205
64,2,4,0.95,0.008738662116229534,0.008664642460644245,0.008822946809232235,3.9213697164086625e-05,0.01811539872836888
64,32,1,0.85,0.0037407714407891035,0.0036731301806867123,0.0037965739611536264,3.2508007279830053e-05,0.03299955167559612
64,32,1,0.9,0.0016526300460100174,0.001619046670384705,0.001699640415608883,2.0532350390567444e-05,0.04876696113492379
64,32,1,0.95,0.00041829500696621835,0.0003955558640882373,0.000438829098129645,1.0522912816668395e-05,0.10345147161869533
64,32,2,0.85,0.0014339645858854055,0.0014124516164883971,0.0014549143379554152,1.1335196177242324e-05,0.02961211307795262
64,32,2,0.9,0.0005515827215276659,0.0005412363680079579,0.0005637918366119266,6.187156031955965e-06,0.04089226823766143
64,32,2,0.95,8.246710058301687e-05,7.925793033791706e-05,8.601640729466453e-05,1.8710334188654087e-06,0.08195361433792546
64,32,3,0.85,0.0004765165795106441,0.00046978885075077415,0.00048645102651789784,4.103463652427308e-06,0.03496662337380752
64,32,3,0.9,0.00010515483882045373,0.00010228955943603069,0.00010789195221150294,1.4943425412639044e-06,0.05327755563429696
64,32,3,0.95,2.448429040668998e-05,2.302456778124906e-05,2.5755138267413713e-05,7.466910005859972e-07,0.1115233662405247
64,32,4,0.85,0.00030461084679700434,0.0002991975343320519,0.0003096196160186082,2.9298680601641536e-06,0.03421441421454607
64,32,4,0.9,6.384586595231667e-05,6.131926056696102e-05,6.632981967413798e-05,1.2956135151398485e-06,0.07847899049437436
64,32,4,0.95,1.558372787258122e-05,1.4434546756092459e-05,1.6724408851587214e-05,6.523729894070129e-07,0.1469393019576305
64,4,1,0.85,0.03878067061305046,0.03864927217364311,0.03889342024922371,6.834620580775663e-05,0.006295612523483188
64,4,1,0.9,0.026420192793011665,0.02630547061562538,0.02655087597668171,6.131590635050088e-05,0.009288553001068157
64,4,1,0.95,0.013331916183233261,0.013258472084999084,0.013406415469944477,4.39267823821865e-05,0.011096933322417072
64,8,1,0.85,0.03311578929424286,0.032973915338516235,0.03322766348719597,6.42700179014355e-05,0.0076624520836605
64,8,1,0.9,0.021645331755280495,0.02153673954308033,0.02174091525375843,5.565941319218837e-05,0.009432782688964369
64,8,1,0.95,0.009965763427317142,0.009896211326122284,0.01003206055611372,3.9649199607083574e-05,0.013631592901258306
64,8,2,0.85,0.021727146580815315,0.02160940133035183,0.021834788843989372,5.738404070143588e-05,0.01037354411906789
64,8,2,0.9,0.011400471441447735,0.01132945530116558,0.011494932696223259,4.242820432409644e-05,0.014514960710840956
64,8,2,0.95,0.004330510273575783,0.004286691080778837,0.004386163782328367,2.8271073460928164e-05,0.022970203339892685
64,8,3,0.85,0.015902390703558922,0.01580934040248394,0.015987660735845566,4.4438322220230475e-05,0.011213429268953752
64,8,3,0.9,0.007425759918987751,0.0073755113407969475,0.0074945311062037945,3.254197144997306e-05,0.016027957637374208
64,8,3,0.95,0.003066855249926448,0.0030238928738981485,0.0031074904836714268,2.263057467644103e-05,0.027258413899802787
64,8,4,0.85,0.01309253927320242,0.013005790300667286,0.01316786464303732,4.337197242421098e-05,0.012379137384125645
64,8,4,0.9,0.00635515758767724,0.006306364666670561,0.006405949126929045,3.0040462661418132e-05,0.015669864812098422
64,8,4,0.95,0.002791630569845438,0.002751849591732025,0.0028319167904555798,2.1711695808335207e-05,0.028681158455714874
