n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
32,16,4,0.85,0.0027629358673095703,0.0009655051422119139,0.25895679715630765
32,16,4,0.9,0.00014116533756256103,0.0015329345846176149,0.9156768746642544
32,16,4,0.95,1.709755063056946e-05,0.00040276923060417175,0.9592786298066042
64,2,1,0.85,0.041656268310546876,0.0,0.0
64,2,1,0.9,0.0288223974609375,0.0,0.0
64,2,1,0.95,0.01493003662109375,0.0,0.0
64,2,2,0.85,0.0380084521484375,0.0036478161621093796,0.08756944176840237
64,2,2,0.9,0.02517781494140625,0.0036445825195312483,0.1264496655585535
64,2,2,0.95,0.011271026611328125,0.003659010009765625,0.24507709543029718
64,2,3,0.85,0.034809613037109374,0.006846655273437502,0.1643607445197872
64,2,3,0.9,0.01991568115234375,0.00890671630859375,0.30902066077830165
64,2,3,0.95,0.009883963470458985,0.005046073150634765,0.337981297614868
64,2,4,0.85,0.03263935546875,0.009016912841796877,0.2164599280611485
64,2,4,0.9,0.017250130310058592,0.011572267150878907,0.4015025872348961
64,2,4,0.95,0.00811670654296875,0.006813330078125001,0.45635052686333377
64,4,1,0.85,0.03888548828125,0.0,0.0
64,4,1,0.9,0.0264916357421875,0.0,0.0
64,4,1,0.95,0.013339006958007812,0.0,0.0
64,4,2,0.85,0.031653716430664065,0.007231771850585933,0.1859761101179996
64,4,2,0.9,0.01970574523925781,0.006785890502929687,0.25615218965597003
64,4,2,0.95,0.009230052337646484,0.004108954620361328,0.3080405185555884
64,4,3,0.85,0.026098758544921875,0.012786729736328124,0.32883037609929394
64,4,3,0.9,0.014924375,0.011567260742187498,0.436638222522697
64,4,3,0.95,0.007223321533203125,0.006115685424804687,0.45848131304356615
64,4,4,0.85,0.02179195556640625,0.017093532714843748,0.4395864233775353
64,4,4,0.9,0.01205343292236328,0.014438202819824218,0.5450098650130394
64,4,4,0.95,0.006633550720214844,0.006705456237792969,0.5026953099958823
64,8,1,0.85,0.03321595397949219,0.0,0.0
64,8,1,0.9,0.021692366333007813,0.0,0.0
64,8,1,0.95,0.010008024291992188,0.0,0.0
64,8,2,0.85,0.02176693359375,0.011449020385742189,0.3446843764538845
64,8,2,0.9,0.011438382568359376,0.010253983764648438,0.47270010137370955
64,8,2,0.95,0.004352465209960937,0.005655559082031251,0.5651024534938914
64,8,3,0.85,0.015929365844726564,0.017286588134765624,0.5204302771324439
64,8,3,0.9,0.007428901672363281,0.014263464660644532,0.6575338274156277
64,8,3,0.95,0.003087989044189453,0.006920035247802735,0.6914486861647334
64,8,4,0.85,0.010779252014160157,0.022436701965332033,0.6754796800111369
64,8,4,0.9,0.005674665222167969,0.016017701110839846,0.7384026650180063
64,8,4,0.95,0.0027959405517578124,0.007212083740234376,0.7206301193738155
64,16,1,0.85,0.022374466552734375,0.0,0.0
64,16,1,0.9,0.012536277770996094,0.0,0.0
64,16,1,0.95,0.003900954132080078,0.0,0.0
64,16,2,0.85,0.011108651428222656,0.011265815124511719,0.5035121216391605
64,16,2,0.9,0.004362536468505859,0.008173741302490234,0.6520070352462184
64,16,2,0.95,0.0009015353202819824,0.0029994188117980955,0.7688936373621847
64,16,3,0.85,0.009083990173339844,0.01329047637939453,0.5940019328760402
64,16,3,0.9,0.003664028549194336,0.008872249221801758,0.7077259601194045
64,16,3,0.95,0.000513465518951416,0.003387488613128662,0.8683743767380253
64,16,4,0.85,0.005517045593261718,0.016857420959472656,0.7534222511960856
64,16,4,0.9,0.002851535110473633,0.009684742660522461,0.7725373382304165
64,16,4,0.95,0.00034716019630432127,0.0035537939357757568,0.9110063372831283
64,32,1,0.85,0.0037235086059570315,0.0,0.0
64,32,1,0.9,0.0016704932022094726,0.0,0.0
64,32,1,0.95,0.0004159049701690674,0.0,0.0
64,32,2,0.85,0.0014265387725830077,0.0022969698333740237,0.6168831810135288
64,32,2,0.9,0.0005596030330657959,0.0011108901691436767,0.6650072970511711
64,32,2,0.95,8.370280504226685e-05,0.00033220216512680055,0.7987453600079815
64,32,3,0.85,0.0004740181350708008,0.003249490470886231,0.872695840070721
