n,m,l,sparsity,compression_ratio,linearity_score,nonlinear_gain,mse_full,mse_linear,top1_variance,effective_dim,seed,actual_compression
256,16,1,0.1,16.0,0.9965269460808486,-0.00014471320543932504,0.02824367955327034,0.028239592909812927,0.10376283526420593,14.387292861938477,1,16.0
256,16,2,0.1,16.0,0.9972221283242106,-0.00018713025994887713,0.028562601655721664,0.02855725772678852,0.10028112679719925,14.528608322143555,0,16.0
256,16,2,0.1,16.0,0.9970382831525058,-0.00018660321790836881,0.02821395918726921,0.028208695352077484,0.10823988169431686,14.734094619750977,1,16.0
256,16,3,0.1,16.0,0.9945393009111285,-3.9660912683250634e-05,0.029729541391134262,0.0297283623367548,0.19541575014591217,6.680454730987549,0,16.0
256,16,3,0.1,16.0,0.9942856375128031,-5.924003190721353e-05,0.030343644320964813,0.030341846868395805,0.2038261592388153,6.626405239105225,1,16.0
256,16,4,0.1,16.0,0.9894786551594734,6.141340654431612e-06,0.03093601018190384,0.03093620017170906,0.9896829128265381,1.020887851715088,0,16.0
256,16,4,0.1,16.0,0.9642621651291847,-6.060512630013678e-08,0.0307341106235981,0.03073410876095295,0.5990990400314331,1.9841179847717285,1,16.0
256,8,1,0.1,32.0,0.9918932039290667,-0.00019633836161350656,0.03041151911020279,0.030405549332499504,0.16664229333400726,7.625617980957031,0,32.0
256,8,1,0.1,32.0,0.9940976519137621,-0.00010516171493401782,0.029192762449383736,0.029189692810177803,0.17528775334358215,7.504190921783447,1,32.0
256,8,2,0.1,32.0,0.9948061499744654,-1.0984617302544802e-05,0.029505234211683273,0.029504910111427307,0.18207840621471405,7.44242000579834,0,32.0
256,8,2,0.1,32.0,0.9953812756575644,-4.6860934802075105e-05,0.029057400301098824,0.029056038707494736,0.1942363679409027,7.389886856079102,1,32.0
256,8,3,0.1,32.0,0.994616215582937,-6.746600822702184e-05,0.029819339513778687,0.029817327857017517,0.2071458250284195,6.216979026794434,0,32.0
256,8,3,0.1,32.0,0.994352824985981,-8.741997518078542e-05,0.03038622811436653,0.030383571982383728,0.2185482680797577,6.971238613128662,1,32.0
256,8,4,0.1,32.0,0.9876770367845893,-4.25942666969743e-05,0.030962113291025162,0.030960794538259506,0.6295863389968872,1.883010745048523,0,32.0
256,8,4,0.1,32.0,0.9862507069483399,-5.748225631855386e-05,0.03055855631828308,0.030556799843907356,0.5869941115379333,1.9460036754608154,1,32.0
