n,m,l,sparsity,seed,final_loss,compression_ratio,top1_var,top2_var,top4_var,tophalf_var,gini_concentration,effective_dim,effective_dim_ratio,linearity_score,mse_full,mse_linear,nonlinear_gain
64,24,2,0.1,0,0.02343319997191429,2.6666666666666665,0.10280058532953262,0.18405680358409882,0.29960015416145325,0.6815741062164307,-0.21143227815628052,22.157642364501953,0.9232350985209147,0.9966421225108206,0.022340774536132812,0.02231248840689659,-0.00126772577056984
64,24,2,0.1,1,0.023765736147761344,2.6666666666666665,0.06594815105199814,0.13024558126926422,0.24434910714626312,0.6534436345100403,-0.1612941026687622,23.04926300048828,0.9603859583536783,0.9971149426419288,0.023546557873487473,0.02353064715862274,-0.000676169592607421
64,24,2,0.1,2,0.02395303811877966,2.6666666666666665,0.10494107007980347,0.19535720348358154,0.32246774435043335,0.7032917737960815,-0.24814903736114502,21.599733352661133,0.8999888896942139,0.9975523091852665,0.0233543049544096,0.023332417011260986,-0.0009380911440566874
64,24,3,0.1,0,0.027101387679576875,2.6666666666666665,0.1505124866962433,0.23161694407463074,0.35109126567840576,0.7337740063667297,-0.29535800218582153,20.414201736450195,0.8505917390187582,0.9953137002885342,0.0268478374928236,0.026837578043341637,-0.00038227911783262746
64,24,3,0.1,1,0.027484718523919583,2.6666666666666665,0.10105786472558975,0.1923336684703827,0.320797860622406,0.7121326923370361,-0.25923144817352295,21.466733932495117,0.8944472471872965,0.9948121821507812,0.0275102648884058,0.027499351650476456,-0.0003968542276745938
64,24,3,0.1,2,0.028153368793427943,2.6666666666666665,0.07963719964027405,0.15257352590560913,0.28163161873817444,0.7151316404342651,-0.24160706996917725,21.92714500427246,0.9136310418446859,0.9943496729247272,0.02764524146914482,0.027655109763145447,0.00035683425293918185
64,24,4,0.1,0,0.030253146775066853,2.6666666666666665,0.10022713243961334,0.19872288405895233,0.34331488609313965,0.8486385941505432,-0.40638452768325806,17.664941787719727,0.7360392411549886,0.9884217763319612,0.030223114416003227,0.030222274363040924,-2.7795812924401874e-05
64,24,4,0.1,1,0.029814308993518352,2.6666666666666665,0.12901604175567627,0.22692707180976868,0.4115354120731354,0.8660950660705566,-0.4541531205177307,17.162220001220703,0.7150925000508627,0.9921605261042714,0.029752440750598907,0.029766101390123367,0.00045893262124230803
64,24,4,0.1,2,0.029193757884204388,2.6666666666666665,0.07777883112430573,0.14883843064308167,0.2761610448360443,0.7369571328163147,-0.2547144889831543,21.636667251586914,0.9015278021494547,0.9901908747851849,0.02839905582368374,0.028389275074005127,-0.00034452257790625296
64,32,1,0.1,0,0.017909611687064172,2.0,0.07147937268018723,0.11993101984262466,0.20251373946666718,0.6271621584892273,-0.14419734477996826,30.746231079101562,0.9608197212219238,0.996732157189399,0.016741177067160606,0.016690010204911232,-0.003065716015988881
64,32,1,0.1,1,0.018103487826883792,2.0,0.06813312321901321,0.11352260410785675,0.19536618888378143,0.6323333978652954,-0.1530766487121582,30.71062660217285,0.9597070813179016,0.9967757591512054,0.01753145642578602,0.017481880262494087,-0.0028358582823444787
