n,m,l,sparsity,compression_ratio,linearity_score,nonlinear_gain,mse_full,mse_linear,top1_variance,seed
64,12,2,0.08,5.333333333333333,0.9957162351347506,-0.0005861823344846151,0.02146127261221409,0.02144869975745678,0.24507193267345428,1
64,12,2,0.08,5.333333333333333,0.9948208369314671,-0.000766420586479402,0.021892040967941284,0.021875275298953056,0.28869274258613586,2
64,16,2,0.08,4.0,0.9954444705508649,-0.000569225802838867,0.020106272771954536,0.02009483426809311,0.28901493549346924,0
64,16,2,0.08,4.0,0.9962288476526737,-0.0006383478253726597,0.021258896216750145,0.021245334297418594,0.24524357914924622,1
64,16,2,0.08,4.0,0.9953288733959198,-0.0011753552429590005,0.02061327174305916,0.02058907225728035,0.1891019195318222,2
64,24,2,0.08,2.6666666666666665,0.9951666127890348,-0.0012038297738007511,0.019381141290068626,0.019357837736606598,0.2822723388671875,0
64,24,2,0.08,2.6666666666666665,0.9951615706086159,-0.0010013049921449874,0.020497769117355347,0.020477265119552612,0.27428826689720154,1
64,24,2,0.08,2.6666666666666665,0.9968546268064529,-0.0007169430138232967,0.020229816436767578,0.020215323194861412,0.32749611139297485,2
64,32,2,0.08,2.0,0.9958881833590567,-0.001316035616994514,0.01894948072731495,0.018924575299024582,0.3159070909023285,0
64,32,2,0.08,2.0,0.9955946286208928,-0.001047813570536116,0.02038963884115219,0.020368296653032303,0.2948560416698456,1
64,32,2,0.08,2.0,0.9956060778349638,-0.0010657991166063956,0.01969076879322529,0.019669804722070694,0.3418048322200775,2
64,4,2,0.1,16.0,0.9924512621946633,0.0005366573077852071,0.028084732592105865,0.02809981256723404,0.36239877343177795,0
64,4,2,0.1,16.0,0.9925762508064508,0.0007839137837347296,0.028853904455900192,0.028876541182398796,0.31750112771987915,1
64,4,2,0.1,16.0,0.9933986929245293,0.0007187999796073324,0.02871713973581791,0.02873779647052288,0.3727329671382904,2
64,6,2,0.1,10.666666666666666,0.9934753780253232,-1.3309361586268245e-05,0.027290603145956993,0.027290239930152893,0.28064465522766113,0
64,6,2,0.1,10.666666666666666,0.9927147594280541,0.0002949911046492619,0.028115326538681984,0.02812362276017666,0.30034178495407104,1
64,6,2,0.1,10.666666666666666,0.994078311137855,-0.00011069009506137252,0.027953675016760826,0.027950581163167953,0.292850524187088,2
64,8,2,0.1,8.0,0.9953054399229586,-0.0003208354388704496,0.02624395489692688,0.026235537603497505,0.2399650663137436,0
64,8,2,0.1,8.0,0.9946488896384835,-0.0006282034056233771,0.027328085154294968,0.0273109283298254,0.23191311955451965,1
64,8,2,0.1,8.0,0.9959421269595623,-0.0003580412780936399,0.027405213564634323,0.027395404875278473,0.3169434666633606,2
64,12,2,0.1,5.333333333333333,0.9954058635048568,-0.000838367962242488,0.025591563433408737,0.025570126250386238,0.34283679723739624,0
64,12,2,0.1,5.333333333333333,0.9961899165064096,-0.0006053458685603468,0.026471992954611778,0.02645597793161869,0.268390029668808,1
64,12,2,0.1,5.333333333333333,0.9951927429065108,-0.0007203686744137964,0.02639295719563961,0.026373958215117455,0.31777021288871765,2
64,16,2,0.1,4.0,0.9961376311257482,-0.0008068666360488937,0.02509044110774994,0.02507021278142929,0.315801739692688,0
